City,Brand,Model,Year,Body,Color,Engine,Engine Power,Fuel Type,Mileage,Gearbox,Transmission,Being new,Price
Astara,LADA (VAZ),2107,2009,Sedan,Ağ,1.6 L,75 a.g.,Benzin,82 000 km,Mexaniki,Arxa,Xeyr,7 700
Masallı,LADA (VAZ),2101,1988,Sedan,Qırmızı,1.1 L,64 a.g.,Benzin,200 000 km,Mexaniki,Arxa,Xeyr,3 700
Gədəbəy,LADA (VAZ),2106,1998,Sedan,Gümüşü,1.6 L,75 a.g.,Benzin,11 500 km,Mexaniki,Arxa,Xeyr,6 000
Gəncə,Chevrolet,Cruze,2013,Sedan,Qara,1.4 L,141 a.g.,Benzin,157 716 km,Avtomat,Ön,Xeyr,15 700
Bakı,Hyundai,Elantra,2011,Sedan,Göy,1.8 L,150 a.g.,Benzin,167 372 km,Avtomat,Ön,Xeyr,17 500
Bakı,Dacia,Sandero,2008,Hetçbek / Liftbek,Ağ,1.4 L,75 a.g.,Benzin,324 000 km,Mexaniki,Ön,Xeyr,6 550
Bakı,Baic,X 3,2020,Offroader / SUV,Qəhvəyi,1.5 L,116 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,28 800
Bakı,LADA (VAZ),21099,2005,Sedan,Bej,1.6 L,80 a.g.,Benzin,125 000 km,Mexaniki,Ön,Xeyr,5 650
Bakı,Hyundai,Elantra,2004,Sedan,Qara,1.6 L,105 a.g.,Benzin,370 000 km,Avtomat,Ön,Xeyr,7 300
Bakı,LADA (VAZ),Priora,2013,Sedan,Ağ,1.6 L,107 a.g.,Benzin,190 000 km,Mexaniki,Ön,Xeyr,10 300
Bakı,BMW,530,2019,Sedan,Boz,2.0 L,249 a.g.,Benzin,27 359 km,Avtomat,Arxa,Xeyr,48 000
Bakı,Lexus,ES 350,2019,Sedan,Qara,3.5 L,240 a.g.,Benzin,29 000 km,Avtomat,Ön,Xeyr,69 000
Sumqayıt,Mercedes,E 220,2007,Sedan,Göy,2.2 L,170 a.g.,Dizel,219 900 km,Avtomat,Arxa,Xeyr,23 000
Bakı,Mercedes,E 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,323 000 km,Avtomat,Arxa,Xeyr,11 000
Bakı,Jeep,Wrangler,2014,Offroader / SUV,Ağ,2.8 L,200 a.g.,Benzin,148 000 km,Avtomat,Tam,Xeyr,32 000
Bərdə,Chevrolet,Cruze,2013,Sedan,Göy,1.4 L,141 a.g.,Benzin,74 000 km,Avtomat,Ön,Xeyr,14 500
Bakı,Fiat,Doblo,2008,Furqon,Ağ,1.9 L,120 a.g.,Dizel,176 029 km,Mexaniki,Ön,Xeyr,21 500
Bakı,LADA (VAZ),2102,1976,Universal,Yaşıl,1.6 L,75 a.g.,Benzin,350 000 km,Mexaniki,Arxa,Xeyr,4 300
Bakı,BMW,740,2013,Sedan,Qara,3.0 L,326 a.g.,Benzin,71 000 km,Avtomat,Tam,Xeyr,36 000
Sumqayıt,Mercedes,E 240,1999,Sedan,Qara,2.4 L,170 a.g.,Benzin,259 222 km,Avtomat,Arxa,Xeyr,15 800
Bakı,Toyota,Prado,2006,Offroader / SUV,Ağ,4.0 L,249 a.g.,Benzin,251 000 km,Avtomat,Tam,Xeyr,31 000
Sumqayıt,Hyundai,Elantra,2015,Sedan,Ağ,1.8 L,150 a.g.,Benzin,66 135 km,Avtomat,Ön,Xeyr,20 900
Bakı,Bentley,Bentayga,2017,Offroader / SUV,Qara,6.0 L,608 a.g.,Benzin,41 000 km,Avtomat,Tam,Xeyr,180 555
Sumqayıt,Chevrolet,Trax,2015,Offroader / SUV,Qara,1.4 L,141 a.g.,Benzin,123 471 km,Avtomat,Ön,Xeyr,19 900
Bakı,Land Rover,Range Rover,2019,Offroader / SUV,Qara,3.0 L,400 a.g.,Benzin,35 000 km,Avtomat,Tam,Xeyr,142 000
Bakı,DAF,95 XF,2001,Dartqı,Ağ,12 L,430 a.g.,Dizel,1 000 000 km,Mexaniki,Arxa,Xeyr,43 500
Bakı,Hyundai,i30,2008,Universal,Yaş Asfalt,1.6 L,116 a.g.,Dizel,174 000 km,Mexaniki,Ön,Xeyr,14 500
Bakı,Nissan,Note,2011,Hetçbek / Liftbek,Tünd qırmızı,1.5 L,109 a.g.,Benzin,48 000 km,Avtomat,Ön,Xeyr,11 700
Ağcabədi,Ford,Fusion,2015,Sedan,Yaş Asfalt,2.0 L,245 a.g.,Benzin,176 000 km,Avtomat,Tam,Xeyr,27 750
Bakı,Opel,Vectra,1996,Sedan,Göy,1.8 L,125 a.g.,Benzin,400 000 km,Mexaniki,Ön,Xeyr,4 850
Bakı,Opel,Zafira,2000,Minivan,Bej,2.2 L,147 a.g.,Benzin,374 000 km,Avtomat,Ön,Xeyr,9 000
Bakı,Nissan,Note,2013,Hetçbek / Liftbek,Mavi,1.2 L,109 a.g.,Benzin,37 500 km,Avtomat,Ön,Xeyr,13 000
Sumqayıt,LADA (VAZ),Kalina,2006,Sedan,Qızılı,1.6 L,85 a.g.,Benzin,213 452 km,Mexaniki,Ön,Xeyr,6 500
Bakı,Haval,H6,2022,Offroader / SUV,Göy,2.0 L,204 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,53 900
Bakı,Toyota,Camry,2022,Sedan,Qara,2.5 L,215 a.g.,Hibrid,0 km,Avtomat,Ön,Bəli,43 500
Bakı,Renault,Scenic,2007,Minivan,Gümüşü,1.5 L,106 a.g.,Dizel,356 000 km,Mexaniki,Ön,Xeyr,9 800
Sumqayıt,Nissan,Tiida,2013,Hetçbek / Liftbek,Ağ,1.5 L,109 a.g.,Benzin,42 000 km,Avtomat,Ön,Xeyr,15 300
Xaçmaz,Mercedes,C 200,1995,Sedan,Qara,2.0 L,136 a.g.,Benzin,616 800 km,Avtomat,Arxa,Xeyr,8 499
